team,home_wins,away_wins,home_matches,away_matches,home_win_percentage,away_win_percentage
Rising Pune Supergiant,5,5,8,8,62.5,62.5
Mumbai Indians,58,51,101,86,57.4257425743,59.3023255814
Chennai Super Kings,51,49,89,75,57.3033707865,65.3333333333
Delhi Capitals,3,7,6,10,50,70
Sunrisers Hyderabad,30,28,63,45,47.619047619,62.2222222222
Rajasthan Royals,29,46,67,80,43.2835820896,57.5
Deccan Chargers,18,11,43,32,41.8604651163,34.375
Kings XI Punjab,38,44,91,85,41.7582417582,51.7647058824
Royal Challengers Bangalore,35,49,85,95,41.1764705882,51.5789473684
Kolkata Knight Riders,34,58,83,95,40.9638554217,61.0526315789
Delhi Daredevils,25,42,72,89,34.7222222222,47.191011236
Pune Warriors,6,6,20,26,30,23.0769230769
Kochi Tuskers Kerala,2,4,7,7,28.5714285714,57.1428571429
Gujarat Lions,1,12,14,16,7.1428571429,75
